bbticker,isin
TFCI IN Equity,INE305A01015
TICL IN Equity,INE672A01018
TLEI IN Equity,INE889A01026
TML IN Equity,INE056C01010
TMX IN Equity,INE152A01029
TNNP IN Equity,INE107A01015
TNPP IN Equity,INE148A01019
TPW IN Equity,INE813H01021
SSOF IN Equity,INE269A01021
STC IN Equity,INE655A01013
STLT IN Equity,INE268A01049
STR IN Equity,INE939A01011
STSG IN Equity,INE623A01011
SUEL IN Equity,INE040H01021
SUF IN Equity,INE660A01013
SUNP IN Equity,INE044A01036
SUNTV IN Equity,INE424H01027
SWE IN Equity,INE277A01016
SYR IN Equity,INE335A01020
TAJG IN Equity,INE586B01026
TATA IN Equity,INE081A01020
TATACONS IN Equity,INE192A01025
TATASLPL IN Equity,INE674A01014
TATASTL IN Equity,INE824B01021
TC IN Equity,INE332A01027
TCO IN Equity,INE493A01027
TCOM IN Equity,INE151A01013
TCS IN Equity,INE467B01029
RCAPT IN Equity,INE013A01015
RCF IN Equity,INE027A01015
RCOM IN Equity,INE330H01018
RDCK IN Equity,INE944F01028
RECL IN Equity,INE020B01018
REDI IN Equity,INE891D01026
REIA IN Equity,INE385B01031
RELG IN Equity,INE621H01010
RELI IN Equity,INE036A01016
RELIANCE IN Equity,INE002A01018
TV18 IN Equity,INE886H01027
TVSL IN Equity,INE494B01023
TVTN IN Equity,INE038F01029
UBBL IN Equity,INE686F01025
UCO IN Equity,INE691A01018
UFLX IN Equity,INE516A01017
UIP IN Equity,INE466H01028
UL IN Equity,INE351A01035
UNBK IN Equity,INE692A01016
UNITDSPR IN Equity,INE854D01024
VJYBK IN Equity,INE705A01016
VOLT IN Equity,INE226A01021
VREL IN Equity,INE945H01013
VRNS IN Equity,INE702A01013
VST IN Equity,INE710A01016
VTEX IN Equity,INE825A01020
VYSB IN Equity,INE166A01011
WCPM IN Equity,INE976A01021
WH IN Equity,INE398A01010
WLCO IN Equity,INE191B01025
WPL IN Equity,INE049B01025
WPRO IN Equity,INE075A01022
WYH IN Equity,INE378A01012
YES IN Equity,INE528G01035
Z IN Equity,INE256A01028
ZDC IN Equity,INE206B01013
ZEEN IN Equity,INE966H01019
ZENT IN Equity,INE520A01027
ZNDU IN Equity,INE719A01017
ZUARIIND IN Equity,INE217A01012
UPLL IN Equity,INE628A01036
USM IN Equity,INE228A01035
UT IN Equity,INE694A01020
UTCEM IN Equity,INE481G01011
UTTM IN Equity,INE699A01011
UTV IN Equity,INE507B01022
VCLF IN Equity,INE703A01011
VEDL IN Equity,INE205A01025
VI IN Equity,INE386A01015
VIP IN Equity,INE054A01027
III IN Equity,INE748C01038
PENL IN Equity,INE138A01028
BRGD IN Equity,INE791I01019
BNCO IN Equity,INE213C01025
ADANI IN Equity,INE814H01011
KARG IN Equity,INE299C01024
AJRINFRA IN Equity,INE181G01025
BINC IN Equity,INE042H01019
NHPC IN Equity,INE848E01016
OINL IN Equity,INE274J01014
SWH IN Equity,INE824G01012
JSW IN Equity,INE121E01018
TPC IN Equity,INE422C01014
DBREALTY IN Equity,INE879I01012
JUBI IN Equity,INE797F01020
JPIN IN Equity,INE099J01015
JPVL IN Equity,INE351F01018
SRIN IN Equity,INE805D01034
HATH IN Equity,INE982F01036
SACV IN Equity,INE538H01024
BGRL IN Equity,INE661I01014
ALDS IN Equity,INE102I01027
BJE IN Equity,INE193E01025
COXK IN Equity,INE008I01026
HMN IN Equity,INE548C01032
DELTA IN Equity,INE124G01033
GPL IN Equity,INE484J01027
CETL IN Equity,INE247G01024
KRI IN Equity,INE990B01012
JKI IN Equity,INE573A01042
OMDC IN Equity,INE725E01024
OPTC IN Equity,INE808B01016
ORB IN Equity,INE628H01015
ZYWL IN Equity,INE768C01010
RNAVAL IN Equity,INE542F01012
SADE IN Equity,INE226H01026
COAL IN Equity,INE522F01014
OBER IN Equity,INE093I01010
IECC IN Equity,INE369I01014
ARSS IN Equity,INE267I01010
PEPL IN Equity,INE811K01011
DITV IN Equity,INE836F01026
DHLBK IN Equity,INE680A01011
ECLX IN Equity,INE738I01010
CBOI IN Equity,INE483A01010
KSK IN Equity,INE143H01015
GPPV IN Equity,INE517F01014
INBK IN Equity,INE562A01011
BFUT IN Equity,INE243D01012
BHAFIN IN Equity,INE180K01011
DCBB IN Equity,INE503A01015
DEWH IN Equity,INE202B01012
AIAE IN Equity,INE212H01026
NETM IN Equity,INE870H01013
NEUTL IN Equity,INE333I01036
PSYS IN Equity,INE262H01021
SBBJ IN Equity,INE648A01026
SBTR IN Equity,INE654A01024
RTPOW IN Equity,INE399K01017
PAG IN Equity,INE761H01022
FCON IN Equity,INE220J01025
MVLL IN Equity,INE744I01034
JBIL IN Equity,INE091G01018
LTF IN Equity,INE498L01015
ARSL IN Equity,INE968D01022
ICRA IN Equity,INE725G01011
MUTH IN Equity,INE414G01012
EROS IN Equity,INE416L01017
KWALITY IN Equity,INE775B01025
LLL IN Equity,INE597L01014
JKIL IN Equity,INE576I01022
AURFI IN Equity,INE306B01029
PKI IN Equity,INE603A01013
UB IN Equity,INE696A01025
TDPS IN Equity,INE419M01027
TEEC IN Equity,INE286K01024
THEAL IN Equity,INE040M01013
RMKY IN Equity,INE874I01013
PAISALO IN Equity,INE420C01059
MINF IN Equity,INE949H01023
AUTOL IN Equity,INE718H01014
BBTC IN Equity,INE050A01025
MCF IN Equity,INE558B01017
BIL IN Equity,INE787D01026
JBF IN Equity,INE187A01017
2299371D IN Equity,INE549I01011
FLEXI IN Equity,INE060J01017
GBGLOBAL IN Equity,INE087J01028
ACLGATI IN Equity,INE152B01027
PRIF IN Equity,INE367G01038
SCUF IN Equity,INE722A01011
SLCL IN Equity,INE851B01016
SPII IN Equity,INE550H01011
TTKPT IN Equity,INE690A01028
VKI IN Equity,INE051B01021
MOIL IN Equity,INE490G01020
ILFT IN Equity,INE975G01012
IMFA IN Equity,INE919H01018
COFORGE IN Equity,INE591G01017
SPADV IN Equity,INE232I01014
PVRINOX IN Equity,INE191H01014
SWAN IN Equity,INE665A01038
TBZL IN Equity,INE760L01018
WELSPUNL IN Equity,INE192B01031
OCAP IN Equity,INE912L01015
GABR IN Equity,INE524A01029
GEOD IN Equity,INE371D01029
DDLL IN Equity,INE928K01013
DEN IN Equity,INE947J01015
GRHF IN Equity,INE580B01029
HCP IN Equity,INE531E01026
INDUSTOW IN Equity,INE121J01017
DBCL IN Equity,INE950I01011
20ML IN Equity,INE144J01027
ICSL IN Equity,INE486J01014
MAN IN Equity,INE993A01026
MHRL IN Equity,INE998I01010
MHSC IN Equity,INE288A01013
MMTC IN Equity,INE123F01029
KEKC IN Equity,INE401H01017
KPDL IN Equity,INE094I01018
KSCL IN Equity,INE455I01029
DBNK/F IN Equity,INE077A01010
JKLC IN Equity,INE786A01032
EDA IN Equity,INE825H01017
MTEL IN Equity,INE472M01018
POL/F IN Equity,INE763A01023
POONAWAL IN Equity,INE511C01022
ZCVCS IN Equity,INE342J01019
WHIRL IN Equity,INE716A01013
RPRO IN Equity,INE904G01038
RAJT IN Equity,INE952H01027
JYL IN Equity,INE668F01031
CARE IN Equity,INE752H01013
NBCC IN Equity,INE095N01031
JUST IN Equity,INE599M01018
BAJAJCON IN Equity,INE933K01021
PI IN Equity,INE603J01030
PTCIF IN Equity,INE560K01014
SAMMAANC IN Equity,INE148I01020
VGM IN Equity,INE884A01027
RINDL IN Equity,INE855B01025
ASBL IN Equity,INE442H01029
ASTRA IN Equity,INE006I01046
ALPM IN Equity,INE901L01018
APR IN Equity,INE372A01015
KTG IN Equity,INE602G01020
NFPI IN Equity,INE489H01020
NOCIL IN Equity,INE163A01018
WHL IN Equity,INE715A01015
VATW IN Equity,INE956G01038
REPCO IN Equity,INE612J01015
RMT IN Equity,INE703B01027
TLNGR IN Equity,INE133E01013
LOG IN Equity,INE059D01020
MBLINFRA IN Equity,INE912H01013
MUNI IN Equity,INE040D01038
JKCE IN Equity,INE823G01014
KPR IN Equity,INE930H01031
LGBB IN Equity,INE337A01034
ITCE IN Equity,INE686A01026
IFBI IN Equity,INE559A01017
GOLI IN Equity,INE635Q01029
KNRC IN Equity,INE634I01029
MRKS IN Equity,INE750C01026
PSL IN Equity,INE932A01024
VO IN Equity,INE410B01037
SVLS IN Equity,INE495B01038
NTCPH IN Equity,INE987B01026
VISP IN Equity,INE370E01029
CEAT IN Equity,INE482A01020
CFIN IN Equity,INE052I01032
FLFL IN Equity,INE452O01016
EVRIN IN Equity,INE128A01029
INXW IN Equity,INE066P01011
KRB IN Equity,INE001B01026
IMAGICAA IN Equity,INE172N01012
MEFO IN Equity,INE425A01011
ORCMNT IN Equity,INE876N01018
SITINET IN Equity,INE965H01011
VRLL IN Equity,INE366I01010
SRIK IN Equity,INE943C01027
SYML IN Equity,INE225D01027
PNCL IN Equity,INE195J01029
GAYP IN Equity,INE336H01023
SCHN IN Equity,INE839M01018
ASFI IN Equity,INE365D01021
AVNT IN Equity,INE871C01038
ABFRL IN Equity,INE647O01011
DAGRI IN Equity,INE435G01025
DBEL IN Equity,INE439L01019
MTLM IN Equity,INE461C01038
ICNT IN Equity,INE483B01026
JCHAC IN Equity,INE782A01015
IGM IN Equity,INE188B01013
NACO IN Equity,INE278M01019
BLIS IN Equity,INE416D01022
MANB IN Equity,INE122R01018
ANHPR IN Equity,INE435A01051
MDA IN Equity,INE842C01021
MGFL IN Equity,INE522D01027
ADANIENS IN Equity,INE931S01010
AEGISLOG IN Equity,INE208C01025
AHLU IN Equity,INE758C01029
GRAN IN Equity,INE101D01020
GUJGA IN Equity,INE844O01030
GWN IN Equity,INE536A01023
ARTD IN Equity,INE767A01016
INDA IN Equity,INE306R01017
INDR IN Equity,INE873D01024
KOEL IN Equity,INE146L01010
CLPL IN Equity,INE475E01026
CRS IN Equity,INE739E01017
JMT IN Equity,INE988E01036
GWOS IN Equity,INE446C01013
CCLP IN Equity,INE421D01022
CIEINDIA IN Equity,INE536H01010
HEIM IN Equity,INE578A01017
HMVL IN Equity,INE871K01015
RLXF IN Equity,INE131B01039
RMKF IN Equity,INE399G01023
PCJL IN Equity,INE785M01013
SOIL IN Equity,INE343H01029
SOMC IN Equity,INE355A01028
SRTY IN Equity,INE421C01016
SHCR IN Equity,INE221J01015
SINP IN Equity,INE764L01010
WONH IN Equity,INE066O01014
ZLL IN Equity,INE565L01011
TTMT/A IN Equity,IN9155A01020
TXMRE IN Equity,INE621L01012
SJVN IN Equity,INE002L01015
SLPA IN Equity,INE790G01031
SM IN Equity,INE294B01019
SNLL IN Equity,INE734N01019
STYRENIX IN Equity,INE189B01011
SECURKLO IN Equity,INE650K01021
TRIV IN Equity,INE152M01016
TRPC IN Equity,INE688A01022
TTLS IN Equity,INE517B01013
VEEDOL IN Equity,INE484C01030
VGRD IN Equity,INE951I01027
TMKN IN Equity,INE325A01013
SYNG IN Equity,INE398R01022
TAKE IN Equity,INE142I01023
SHKL IN Equity,INE500L01026
INFIBEAM IN Equity,INE483S01020
DLPL IN Equity,INE600L01024
EQUITAS IN Equity,INE988K01017
NARH IN Equity,INE410P01011
NFIL IN Equity,INE048G01026
INDIGO IN Equity,INE646L01027
CCD IN Equity,INE335K01011
IDFCFB IN Equity,INE092T01019
ALKEM IN Equity,INE540L01014
APAT IN Equity,INE702C01027
OSC IN Equity,INE290B01025
SEL IN Equity,INE399C01030
SEQ IN Equity,INE807F01027
SFCL IN Equity,INE935O01010
SBMS IN Equity,INE651A01020
CROMPTON IN Equity,INE299U01018
ADVENZY IN Equity,INE837H01020
UJJIVAN IN Equity,INE334L01012
RBK IN Equity,INE976G01028
ENDU IN Equity,INE913H01037
FRETAIL IN Equity,INE752P01024
IPRU IN Equity,INE726G01019
LTIM IN Equity,INE214T01019
LTTS IN Equity,INE010V01017
MAHGL IN Equity,INE002S01010
MAXI IN Equity,INE153U01017
DBL IN Equity,INE917M01012
QUESS IN Equity,INE615P01015
PARAG IN Equity,INE883N01014
THYROCAR IN Equity,INE594H01019
SCHI IN Equity,INE659A01023
SCTL IN Equity,INE510K01019
UNOMINDA IN Equity,INE405E01023
LAURUS IN Equity,INE947Q01028
PNBHOUSI IN Equity,INE572E01012
VBL IN Equity,INE200M01039
SFL IN Equity,INE916U01025
DMART IN Equity,INE192R01011
BSE IN Equity,INE118H01025
ITI IN Equity,INE248A01017
UNTDB IN Equity,INE695A01019
TIME IN Equity,INE508G01029
ITDC IN Equity,INE353K01014
HUDCO IN Equity,INE031A01017
JSHL IN Equity,INE455T01018
RUPA IN Equity,INE895B01021
AUBANK IN Equity,INE949L01017
STRCEM IN Equity,INE460H01021
HTSMF IN Equity,INE473B01035
COCHIN IN Equity,INE704P01025
ERIS IN Equity,INE406M01024
GICRE IN Equity,INE481Y01014
GOAGRO IN Equity,INE850D01014
IEX IN Equity,INE022Q01020
MASFIN IN Equity,INE348L01012
ABCAP IN Equity,INE674K01013
CDSL IN Equity,INE736A01011
DIXON IN Equity,INE935N01020
HSCH IN Equity,INE019C01026
ICICIGI IN Equity,INE765G01017
SECIS IN Equity,INE285J01028
SHANKARA IN Equity,INE274V01019
SINTEX IN Equity,INE501W01021
SBILIFE IN Equity,INE123W01016
DCAL IN Equity,INE385W01011
NSE IN Equity,INE317F01035
RELHOME IN Equity,INE217K01011
ASTERDM IN Equity,INE914M01019
KIOCL IN Equity,INE880L01014
TIINDIA IN Equity,INE974X01010
HNAL IN Equity,INE066F01020
MAHLOG IN Equity,INE766P01016
ISEC IN Equity,INE763G01038
EXCC IN Equity,INE223G01017
GALSURF IN Equity,INE600K01018
NAM IN Equity,INE298J01013
LUX IN Equity,INE150G01020
BANDHAN IN Equity,INE545U01014
HDFCLIFE IN Equity,INE795G01014
LEMONTRE IN Equity,INE970X01018
